dataset_1,dataset_2,dataset,model,time (sec),precision,recall,f1,good_behavior_response_rate,examples,total_matches,conflicts,RAM-USAGE,VRAM-USAGE
abt,buy,D2,openhermes-ft-p2 U openhermes-tf-p2,385.01,67.34,97.07,79.52,1.00,vector_based_examples_dict_1,1329,15.89,3.66,4.56
abt,buy,D2,openhermes-ft-p2 ∩ openhermes-tf-p2,385.01,79.79,91.21,85.12,1.00,vector_based_examples_dict_1,1054,0.00,3.66,4.56
abt,buy,D2,openhermes-ft-p2 U openhermes-tf-p2,390.03,66.64,96.85,78.96,1.00,vector_based_examples_dict_2,1340,14.60,3.65,4.56
abt,buy,D2,openhermes-ft-p2 ∩ openhermes-tf-p2,390.03,77.88,88.61,82.90,1.00,vector_based_examples_dict_2,1049,0.00,3.66,4.56
abt,buy,D2,openhermes-ft-p2 U openhermes-tf-p2,394.27,72.40,95.01,82.18,1.00,join_examples_dict_1,1210,12.66,3.66,4.56
abt,buy,D2,openhermes-ft-p2 ∩ openhermes-tf-p2,394.27,81.76,88.50,85.00,1.00,join_examples_dict_1,998,0.00,3.65,4.56
abt,buy,D2,openhermes-ft-p2 U openhermes-tf-p2,394.52,66.92,97.18,79.26,1.00,join_examples_dict_2,1339,14.73,3.66,4.56
abt,buy,D2,openhermes-ft-p2 ∩ openhermes-tf-p2,394.52,77.64,91.54,84.02,1.00,join_examples_dict_2,1087,0.00,3.65,4.56
abt,buy,D2,zephyr-ft-p2 U zephyr-tf-p2,708.78,78.13,90.67,83.94,0.35,vector_based_examples_dict_1,1070,13.71,3.65,9.10
abt,buy,D2,zephyr-ft-p2 ∩ zephyr-tf-p2,708.78,85.70,77.98,81.66,0.35,vector_based_examples_dict_1,839,0.00,3.83,9.10
abt,buy,D2,zephyr-ft-p2 U zephyr-tf-p2,831.79,76.56,90.67,83.02,0.25,vector_based_examples_dict_2,1092,11.50,3.84,9.10
abt,buy,D2,zephyr-ft-p2 ∩ zephyr-tf-p2,831.79,88.79,76.46,82.17,0.25,vector_based_examples_dict_2,794,0.00,3.84,9.10
abt,buy,D2,zephyr-ft-p2 U zephyr-tf-p2,823.19,80.55,92.08,85.93,0.16,join_examples_dict_1,1054,9.84,3.85,9.10
abt,buy,D2,zephyr-ft-p2 ∩ zephyr-tf-p2,823.19,88.43,82.10,85.15,0.16,join_examples_dict_1,856,0.00,3.85,9.10
abt,buy,D2,zephyr-ft-p2 U zephyr-tf-p2,868.05,85.09,86.66,85.87,0.28,join_examples_dict_2,939,5.88,3.85,9.10
abt,buy,D2,zephyr-ft-p2 ∩ zephyr-tf-p2,868.05,93.44,61.82,74.41,0.28,join_examples_dict_2,610,0.00,3.84,9.10
