dataset_1,dataset,model,time (sec),precision,recall,f1,good_behavior_response_rate,examples,total_matches,weights_extracted_from
cora,cora,openhermes-ft-p2 ∩ openhermes-tf-p2,3764.50,2.25,99.88,4.40,1.00,join_examples_dict_1,762481,s-weight
cora,cora,openhermes-ft-p2 U openhermes-tf-p2,7026.55,2.25,99.88,4.40,1.00,join_examples_dict_2,762481,s-weight
cora,cora,openhermes-ft-p2 ∩ openhermes-tf-p2,7026.55,2.25,99.88,4.40,1.00,join_examples_dict_2,762481,s-weight
cora,cora,zephyr-ft-p2 U zephyr-tf-p2,5876.35,2.25,99.88,4.40,0.17,vector_based_examples_dict_1,762481,s-weight
cora,cora,zephyr-ft-p2 ∩ zephyr-tf-p2,5876.36,2.25,99.88,4.40,0.17,vector_based_examples_dict_1,762481,s-weight
cora,cora,zephyr-ft-p2 U zephyr-tf-p2,5602.84,2.25,99.88,4.40,0.17,vector_based_examples_dict_2,762481,s-weight
cora,cora,zephyr-ft-p2 ∩ zephyr-tf-p2,5602.84,2.25,99.88,4.40,0.17,vector_based_examples_dict_2,762481,s-weight
cora,cora,zephyr-ft-p2 U zephyr-tf-p2,6017.11,2.25,99.88,4.40,0.10,join_examples_dict_1,762481,s-weight
cora,cora,zephyr-ft-p2 ∩ zephyr-tf-p2,6017.11,2.25,99.88,4.40,0.10,join_examples_dict_1,762481,s-weight
cora,cora,zephyr-ft-p2 U zephyr-tf-p2,11019.86,2.25,99.88,4.40,0.09,join_examples_dict_2,762481,s-weight
cora,cora,zephyr-ft-p2 ∩ zephyr-tf-p2,11019.86,2.25,99.88,4.40,0.09,join_examples_dict_2,762481,s-weight
