dataset_1,dataset_2,dataset,model,time (sec),precision,recall,f1,good_behavior_response_rate,examples,total_matches,conflicts,RAM-USAGE,VRAM-USAGE
abt,buy,D2,openhermes-ft-p2,468.10,69.27,91.45,78.83,1.00,vector_based_examples_dict_1,1282,60.61,4.78,4.56
abt,buy,D2,openhermes-tf-p2,468.35,72.21,84.04,77.68,1.00,vector_based_examples_dict_1,1130,54.60,4.75,4.56
abt,buy,D2,zephyr-ft-p2,821.29,73.10,88.16,79.93,0.65,vector_based_examples_dict_1,583,100.00,4.77,9.10
abt,buy,D2,zephyr-tf-p2,691.58,71.96,85.89,78.31,0.74,vector_based_examples_dict_1,631,100.00,4.96,9.10
abt,buy,D2,gemma3n-ft-p2,2236.33,65.29,95.88,77.68,1.00,join_examples_dict_1,1426,61.64,4.99,7.43
abt,buy,D2,gemma3n-tf-p2,2233.47,65.58,93.61,77.13,1.00,join_examples_dict_1,1386,60.46,5.13,7.43
abt,buy,D2,qwen2.5-ft-p2,548.35,87.42,87.33,87.38,1.00,join_examples_dict_1,970,25.05,5.13,4.78
abt,buy,D2,qwen2.5-tf-p2,549.44,86.56,88.88,87.70,1.00,join_examples_dict_1,997,27.28,4.69,4.78
abt,buy,D2,llama3.1-ft-p2,550.40,45.19,94.44,61.13,1.00,join_examples_dict_1,2029,89.80,4.79,10.01
abt,buy,D2,llama3.1-tf-p2,549.58,32.56,99.49,49.06,1.00,join_examples_dict_1,2967,97.98,4.96,10.01
abt,buy,D2,orca2-ft-p2,476.55,51.71,82.49,63.57,1.00,join_examples_dict_1,1548,100.00,5.00,5.78
abt,buy,D2,orca2-tf-p2,474.08,45.06,82.18,58.21,1.00,join_examples_dict_1,1771,88.37,4.60,5.78
abt,buy,D2,openhermes-ft-p2,485.04,72.34,87.54,79.22,1.00,join_examples_dict_1,1175,53.62,4.60,4.56
abt,buy,D2,openhermes-tf-p2,484.85,74.57,85.17,79.52,1.00,join_examples_dict_1,1109,49.50,4.68,4.56
abt,buy,D2,zephyr-ft-p2,1428.89,78.49,83.42,80.88,0.31,join_examples_dict_1,171,100.00,4.68,9.10
abt,buy,D2,zephyr-tf-p2,1266.96,71.75,86.30,78.35,0.38,join_examples_dict_1,260,100.00,4.92,9.10
abt,buy,D2,gemma3n-ft-p2,1456.31,49.30,98.04,65.61,1.00,join_examples_dict_2,1931,82.96,4.91,7.43
abt,buy,D2,gemma3n-tf-p2,1456.42,39.98,98.87,56.94,1.00,join_examples_dict_2,2401,91.67,4.73,7.43
abt,buy,D2,qwen2.5-ft-p2,540.20,89.80,87.02,88.39,1.00,join_examples_dict_2,941,21.36,4.76,4.78
abt,buy,D2,qwen2.5-tf-p2,539.72,84.43,91.04,87.61,1.00,join_examples_dict_2,1047,31.23,4.29,4.78
abt,buy,D2,llama3.1-ft-p2,541.43,37.69,98.56,54.53,1.00,join_examples_dict_2,2539,94.64,4.31,10.01
abt,buy,D2,llama3.1-tf-p2,541.18,28.16,99.90,43.94,1.00,join_examples_dict_2,3444,99.27,4.73,10.01
abt,buy,D2,orca2-ft-p2,463.94,38.47,95.37,54.83,1.00,join_examples_dict_2,2407,93.23,4.75,5.78
abt,buy,D2,orca2-tf-p2,467.26,38.31,91.14,53.95,1.00,join_examples_dict_2,2309,100.00,4.52,5.78
abt,buy,D2,openhermes-ft-p2,473.46,60.26,96.81,74.28,1.00,join_examples_dict_2,1560,73.91,4.49,4.56
abt,buy,D2,openhermes-tf-p2,474.17,68.10,89.70,77.42,1.00,join_examples_dict_2,1279,61.53,4.36,4.56
abt,buy,D2,zephyr-ft-p2,1576.45,70.29,88.67,78.42,0.55,join_examples_dict_2,550,100.00,4.36,9.10
abt,buy,D2,zephyr-tf-p2,1714.44,60.82,88.57,72.12,0.53,join_examples_dict_2,796,100.00,4.61,9.10
abt,buy,D2,gemma3n-ft-p2,1482.65,57.65,96.60,72.21,1.00,vector_based_examples_dict_2,1627,73.69,4.60,7.43
abt,buy,D2,gemma3n-tf-p2,1484.98,46.84,98.46,63.48,1.00,vector_based_examples_dict_2,2041,85.69,4.81,7.43
abt,buy,D2,qwen2.5-ft-p2,545.25,85.58,87.44,86.50,1.00,vector_based_examples_dict_2,992,29.44,4.83,4.78
abt,buy,D2,qwen2.5-tf-p2,544.87,86.86,87.13,86.99,1.00,vector_based_examples_dict_2,974,25.77,4.40,4.78
abt,buy,D2,llama3.1-ft-p2,545.51,42.16,95.88,58.57,1.00,vector_based_examples_dict_2,2208,91.80,4.40,10.01
abt,buy,D2,llama3.1-tf-p2,545.93,33.32,99.18,49.88,1.00,vector_based_examples_dict_2,2890,98.27,4.61,10.01
abt,buy,D2,orca2-ft-p2,473.62,43.98,87.95,58.63,1.00,vector_based_examples_dict_2,1942,88.36,4.65,5.78
abt,buy,D2,orca2-tf-p2,472.03,47.89,89.80,62.46,1.00,vector_based_examples_dict_2,1821,86.11,4.60,5.78
abt,buy,D2,openhermes-ft-p2,481.05,67.20,91.35,77.43,1.00,vector_based_examples_dict_2,1320,61.52,4.57,4.56
abt,buy,D2,openhermes-tf-p2,480.81,65.61,87.64,75.04,1.00,vector_based_examples_dict_2,1297,64.23,4.56,4.56
abt,buy,D2,zephyr-ft-p2,1185.66,64.66,89.70,75.15,0.66,vector_based_examples_dict_2,863,100.00,4.54,9.10
abt,buy,D2,zephyr-tf-p2,1252.32,61.99,87.33,72.51,0.60,vector_based_examples_dict_2,852,100.00,4.74,9.10
abt,buy,D2,gemma3n-ft-p2 U gemma3n-tf-p2,2285.51,27.63,91.26,42.42,1.00,vector_based_examples_dict_1,1549,2.35,4.73,7.43
abt,buy,D2,gemma3n-ft-p2 ∩ gemma3n-tf-p2,2285.51,30.45,86.35,45.03,1.00,vector_based_examples_dict_1,1330,0.00,4.35,7.43
abt,buy,D2,gemma3n-ft-p2 U gemma3n-tf-p2,2967.63,21.97,95.74,35.73,1.00,vector_based_examples_dict_2,2044,4.50,4.36,7.43
abt,buy,D2,gemma3n-ft-p2 ∩ gemma3n-tf-p2,2967.63,26.11,90.41,40.52,1.00,vector_based_examples_dict_2,1624,0.00,4.37,7.43
abt,buy,D2,gemma3n-ft-p2 U gemma3n-tf-p2,4469.80,27.82,88.49,42.33,1.00,join_examples_dict_1,1492,0.66,4.39,7.43
abt,buy,D2,gemma3n-ft-p2 ∩ gemma3n-tf-p2,4469.80,30.15,84.86,44.49,1.00,join_examples_dict_1,1320,0.00,4.39,7.43
abt,buy,D2,gemma3n-ft-p2 U gemma3n-tf-p2,2912.73,19.13,98.08,32.01,1.00,join_examples_dict_2,2405,3.95,4.41,7.43
abt,buy,D2,gemma3n-ft-p2 ∩ gemma3n-tf-p2,2912.73,23.09,94.88,37.15,1.00,join_examples_dict_2,1927,0.00,4.42,7.43
abt,buy,D2,qwen2.5-ft-p2 U qwen2.5-tf-p2,1072.77,36.49,78.04,49.73,1.00,vector_based_examples_dict_1,1003,0.24,4.40,4.78
abt,buy,D2,qwen2.5-ft-p2 ∩ qwen2.5-tf-p2,1072.77,37.22,74.20,49.57,1.00,vector_based_examples_dict_1,935,0.00,3.98,4.78
abt,buy,D2,qwen2.5-ft-p2 U qwen2.5-tf-p2,1090.12,35.76,77.40,48.92,1.00,vector_based_examples_dict_2,1015,0.00,3.97,4.78
abt,buy,D2,qwen2.5-ft-p2 ∩ qwen2.5-tf-p2,1090.12,36.38,73.77,48.73,1.00,vector_based_examples_dict_2,951,0.00,3.98,4.78
abt,buy,D2,qwen2.5-ft-p2 U qwen2.5-tf-p2,1097.78,36.62,79.10,50.07,1.00,join_examples_dict_1,1013,0.47,3.97,4.78
abt,buy,D2,qwen2.5-ft-p2 ∩ qwen2.5-tf-p2,1097.78,36.69,74.63,49.19,1.00,join_examples_dict_1,954,0.00,3.97,4.78
abt,buy,D2,qwen2.5-ft-p2 U qwen2.5-tf-p2,1079.92,35.74,80.17,49.44,1.00,join_examples_dict_2,1052,1.48,3.96,4.78
abt,buy,D2,qwen2.5-ft-p2 ∩ qwen2.5-tf-p2,1079.92,37.50,74.84,49.96,1.00,join_examples_dict_2,936,0.00,3.94,4.78
abt,buy,D2,llama3.1-ft-p2 U llama3.1-tf-p2,1082.82,14.15,98.51,24.75,1.00,vector_based_examples_dict_1,3264,12.48,3.94,10.01
abt,buy,D2,llama3.1-ft-p2 ∩ llama3.1-tf-p2,1082.82,22.12,90.41,35.54,1.00,vector_based_examples_dict_1,1917,0.00,4.24,10.01
abt,buy,D2,llama3.1-ft-p2 U llama3.1-tf-p2,1091.44,14.76,98.08,25.66,1.00,vector_based_examples_dict_2,3116,10.99,4.25,10.01
abt,buy,D2,llama3.1-ft-p2 ∩ llama3.1-tf-p2,1091.44,21.29,89.98,34.43,1.00,vector_based_examples_dict_2,1982,0.00,4.25,10.01
abt,buy,D2,llama3.1-ft-p2 U llama3.1-tf-p2,1099.98,14.70,98.08,25.56,1.00,join_examples_dict_1,3130,8.70,4.24,10.01
abt,buy,D2,llama3.1-ft-p2 ∩ llama3.1-tf-p2,1099.98,22.24,88.49,35.55,1.00,join_examples_dict_1,1866,0.00,4.25,10.01
abt,buy,D2,llama3.1-ft-p2 U llama3.1-tf-p2,1082.60,13.09,99.15,23.13,1.00,join_examples_dict_2,3552,4.99,4.25,10.01
abt,buy,D2,llama3.1-ft-p2 ∩ llama3.1-tf-p2,1082.60,18.35,95.10,30.76,1.00,join_examples_dict_2,2431,0.00,4.26,10.01
abt,buy,D2,orca2-ft-p2 U orca2-tf-p2,930.12,18.27,88.27,30.27,1.00,vector_based_examples_dict_1,2266,11.26,4.27,5.78
abt,buy,D2,orca2-ft-p2 ∩ orca2-tf-p2,930.12,24.05,72.71,36.14,1.00,vector_based_examples_dict_1,1418,0.00,4.03,5.78
abt,buy,D2,orca2-ft-p2 U orca2-tf-p2,945.65,18.09,86.14,29.90,1.00,vector_based_examples_dict_2,2233,8.78,4.03,5.78
abt,buy,D2,orca2-ft-p2 ∩ orca2-tf-p2,945.65,22.29,72.71,34.12,1.00,vector_based_examples_dict_2,1530,0.00,4.03,5.78
abt,buy,D2,orca2-ft-p2 U orca2-tf-p2,950.63,18.64,82.94,30.44,1.00,join_examples_dict_1,2087,12.78,4.02,5.78
abt,buy,D2,orca2-ft-p2 ∩ orca2-tf-p2,950.63,23.93,62.90,34.67,1.00,join_examples_dict_1,1233,0.00,4.03,5.78
abt,buy,D2,orca2-ft-p2 U orca2-tf-p2,931.20,15.77,93.18,26.98,1.00,join_examples_dict_2,2771,11.36,4.03,5.78
abt,buy,D2,orca2-ft-p2 ∩ orca2-tf-p2,931.20,20.25,84.01,32.63,1.00,join_examples_dict_2,1946,0.00,4.02,5.78
abt,buy,D2,openhermes-ft-p2 U openhermes-tf-p2,936.45,27.80,86.14,42.04,1.00,vector_based_examples_dict_1,1453,7.65,4.02,4.56
abt,buy,D2,openhermes-ft-p2 ∩ openhermes-tf-p2,936.45,34.20,69.94,45.94,1.00,vector_based_examples_dict_1,959,0.00,3.95,4.56
abt,buy,D2,openhermes-ft-p2 U openhermes-tf-p2,961.86,26.95,88.49,41.31,1.00,vector_based_examples_dict_2,1540,5.56,3.96,4.56
abt,buy,D2,openhermes-ft-p2 ∩ openhermes-tf-p2,961.86,31.75,72.92,44.24,1.00,vector_based_examples_dict_2,1077,0.00,3.95,4.56
abt,buy,D2,openhermes-ft-p2 U openhermes-tf-p2,969.90,29.74,85.29,44.10,1.00,join_examples_dict_1,1345,4.42,3.95,4.56
abt,buy,D2,openhermes-ft-p2 ∩ openhermes-tf-p2,969.90,35.04,70.15,46.73,1.00,join_examples_dict_1,939,0.00,3.96,4.56
abt,buy,D2,openhermes-ft-p2 U openhermes-tf-p2,947.63,25.81,91.68,40.28,1.00,join_examples_dict_2,1666,6.69,3.97,4.56
abt,buy,D2,openhermes-ft-p2 ∩ openhermes-tf-p2,947.63,31.97,79.96,45.68,1.00,join_examples_dict_2,1173,0.00,3.96,4.56
abt,buy,D2,zephyr-ft-p2 U zephyr-tf-p2,1512.87,29.15,82.30,43.06,0.69,vector_based_examples_dict_1,1324,22.96,3.96,9.10
abt,buy,D2,zephyr-ft-p2 ∩ zephyr-tf-p2,1512.87,33.80,72.49,46.10,0.69,vector_based_examples_dict_1,1006,0.00,4.22,9.10
abt,buy,D2,zephyr-ft-p2 U zephyr-tf-p2,2437.98,24.21,85.50,37.74,0.63,vector_based_examples_dict_2,1656,24.78,4.22,9.10
abt,buy,D2,zephyr-ft-p2 ∩ zephyr-tf-p2,2437.98,32.58,73.56,45.16,0.63,vector_based_examples_dict_2,1059,0.00,4.22,9.10
abt,buy,D2,zephyr-ft-p2 U zephyr-tf-p2,2695.86,29.29,81.24,43.05,0.34,join_examples_dict_1,1301,20.00,4.21,9.10
abt,buy,D2,zephyr-ft-p2 ∩ zephyr-tf-p2,2695.86,37.26,71.43,48.98,0.34,join_examples_dict_1,899,0.00,4.21,9.10
abt,buy,D2,zephyr-ft-p2 U zephyr-tf-p2,3290.89,25.72,88.06,39.81,0.54,join_examples_dict_2,1606,31.70,4.21,9.10
abt,buy,D2,zephyr-ft-p2 ∩ zephyr-tf-p2,3290.89,34.08,75.05,46.87,0.54,join_examples_dict_2,1033,0.00,4.21,9.10
