dataset_1,dataset_2,dataset,model,time (sec),precision,recall,f1,good_behavior_response_rate,examples,total_matches,conflicts,RAM-USAGE,VRAM-USAGE
imdb,tmdb,D5,zephyr-ft-p2,755.30,80.38,48.73,60.68,0.72,vector_based_examples_dict_2,725,66.47,3.95,9.10
imdb,tmdb,D5,zephyr-tf-p2,544.04,77.71,70.77,74.08,0.88,vector_based_examples_dict_2,1577,66.47,4.20,9.10
imdb,tmdb,D5,gemma3n-ft-p2,1342.21,77.68,98.41,86.83,1.00,join_examples_dict_1,2397,11.93,4.20,7.43
imdb,tmdb,D5,gemma3n-tf-p2,1343.11,78.94,97.89,87.40,1.00,join_examples_dict_1,2346,10.83,4.29,7.43
imdb,tmdb,D5,qwen2.5-ft-p2,531.77,80.28,67.12,73.11,1.00,join_examples_dict_1,1582,4.80,4.33,4.78
imdb,tmdb,D5,qwen2.5-tf-p2,531.61,80.74,69.13,74.49,1.00,join_examples_dict_1,1620,4.69,4.01,4.78
imdb,tmdb,D5,llama3.1-ft-p2,542.08,52.24,75.05,61.61,1.00,join_examples_dict_1,2718,66.47,4.01,10.01
imdb,tmdb,D5,llama3.1-tf-p2,540.69,46.22,96.51,62.50,1.00,join_examples_dict_1,3951,66.47,4.41,10.01
imdb,tmdb,D5,orca2-ft-p2,390.17,71.06,58.14,63.95,1.00,join_examples_dict_1,1548,66.47,4.40,5.78
imdb,tmdb,D5,orca2-tf-p2,390.43,70.26,59.20,64.26,1.00,join_examples_dict_1,1593,66.47,4.24,5.78
imdb,tmdb,D5,openhermes-ft-p2,397.68,78.76,59.20,67.59,1.00,join_examples_dict_1,1422,6.40,4.26,4.56
imdb,tmdb,D5,openhermes-tf-p2,398.35,79.43,56.13,65.78,1.00,join_examples_dict_1,1337,3.37,4.15,4.56
imdb,tmdb,D5,zephyr-ft-p2,737.92,81.50,43.55,56.77,0.73,join_examples_dict_1,433,66.47,4.12,9.10
imdb,tmdb,D5,zephyr-tf-p2,557.27,79.96,57.98,67.22,0.90,join_examples_dict_1,1246,66.47,4.28,9.10
imdb,tmdb,D5,gemma3n-ft-p2,1345.54,79.31,99.10,88.11,1.00,join_examples_dict_2,2364,10.41,4.30,7.43
imdb,tmdb,D5,gemma3n-tf-p2,1344.89,81.11,96.93,88.32,1.00,join_examples_dict_2,2261,8.05,4.30,7.43
imdb,tmdb,D5,qwen2.5-ft-p2,533.61,81.07,91.70,86.06,1.00,join_examples_dict_2,2140,7.20,4.35,4.78
imdb,tmdb,D5,qwen2.5-tf-p2,532.78,80.36,93.66,86.50,1.00,join_examples_dict_2,2205,7.48,3.96,4.78
imdb,tmdb,D5,llama3.1-ft-p2,540.47,60.84,92.12,73.28,1.00,join_examples_dict_2,2865,66.47,3.97,10.01
imdb,tmdb,D5,llama3.1-tf-p2,540.53,55.71,96.41,70.62,1.00,join_examples_dict_2,3274,66.47,4.30,10.01
imdb,tmdb,D5,orca2-ft-p2,389.12,68.65,33.56,45.08,1.00,join_examples_dict_2,925,66.47,4.31,5.78
imdb,tmdb,D5,orca2-tf-p2,389.77,69.71,47.67,56.62,1.00,join_examples_dict_2,1293,66.47,4.29,5.78
imdb,tmdb,D5,openhermes-ft-p2,398.60,78.63,61.84,69.23,1.00,join_examples_dict_2,1488,4.84,4.30,4.56
imdb,tmdb,D5,openhermes-tf-p2,398.22,77.95,73.78,75.81,1.00,join_examples_dict_2,1791,8.10,4.30,4.56
imdb,tmdb,D5,zephyr-ft-p2,803.25,80.25,53.70,64.34,0.62,join_examples_dict_2,186,66.47,4.30,9.10
imdb,tmdb,D5,zephyr-tf-p2,3311.58,78.14,57.82,66.46,0.88,join_examples_dict_2,1192,66.47,4.50,9.10
imdb,tmdb,D5,gemma3n-ft-p2 U gemma3n-tf-p2,2744.00,12.82,98.81,22.70,1.00,vector_based_examples_dict_1,2597,1.42,4.50,7.43
imdb,tmdb,D5,gemma3n-ft-p2 ∩ gemma3n-tf-p2,2744.00,13.24,82.20,22.81,1.00,vector_based_examples_dict_1,2092,0.00,4.48,7.43
imdb,tmdb,D5,gemma3n-ft-p2 U gemma3n-tf-p2,2687.79,13.80,99.11,24.22,1.00,vector_based_examples_dict_2,2421,0.37,4.51,7.43
imdb,tmdb,D5,gemma3n-ft-p2 ∩ gemma3n-tf-p2,2687.79,14.19,97.92,24.78,1.00,vector_based_examples_dict_2,2326,0.00,4.52,7.43
imdb,tmdb,D5,gemma3n-ft-p2 U gemma3n-tf-p2,2685.32,13.65,97.92,23.96,1.00,join_examples_dict_1,2418,0.65,4.53,7.43
imdb,tmdb,D5,gemma3n-ft-p2 ∩ gemma3n-tf-p2,2685.32,14.11,97.33,24.64,1.00,join_examples_dict_1,2325,0.00,4.53,7.43
imdb,tmdb,D5,gemma3n-ft-p2 U gemma3n-tf-p2,2690.44,14.09,99.11,24.68,1.00,join_examples_dict_2,2370,0.65,4.50,7.43
imdb,tmdb,D5,gemma3n-ft-p2 ∩ gemma3n-tf-p2,2690.44,14.41,96.44,25.08,1.00,join_examples_dict_2,2255,0.00,4.52,7.43
imdb,tmdb,D5,qwen2.5-ft-p2 U qwen2.5-tf-p2,1076.40,14.22,96.14,24.77,1.00,vector_based_examples_dict_1,2279,0.38,4.52,4.78
imdb,tmdb,D5,qwen2.5-ft-p2 ∩ qwen2.5-tf-p2,1076.40,14.53,93.47,25.15,1.00,vector_based_examples_dict_1,2168,0.00,4.05,4.78
imdb,tmdb,D5,qwen2.5-ft-p2 U qwen2.5-tf-p2,1067.37,14.22,94.07,24.71,1.00,vector_based_examples_dict_2,2229,0.39,4.05,4.78
imdb,tmdb,D5,qwen2.5-ft-p2 ∩ qwen2.5-tf-p2,1067.37,14.54,91.39,25.09,1.00,vector_based_examples_dict_2,2118,0.00,4.05,4.78
imdb,tmdb,D5,qwen2.5-ft-p2 U qwen2.5-tf-p2,1063.38,14.48,72.70,24.15,1.00,join_examples_dict_1,1692,0.13,4.04,4.78
imdb,tmdb,D5,qwen2.5-ft-p2 ∩ qwen2.5-tf-p2,1063.38,14.97,67.06,24.47,1.00,join_examples_dict_1,1510,0.00,4.04,4.78
imdb,tmdb,D5,qwen2.5-ft-p2 U qwen2.5-tf-p2,1066.39,14.15,94.36,24.61,1.00,join_examples_dict_2,2247,0.49,4.05,4.78
imdb,tmdb,D5,qwen2.5-ft-p2 ∩ qwen2.5-tf-p2,1066.39,14.59,90.80,25.13,1.00,join_examples_dict_2,2098,0.00,4.04,4.78
imdb,tmdb,D5,llama3.1-ft-p2 U llama3.1-tf-p2,1098.71,8.13,99.11,15.02,1.00,vector_based_examples_dict_1,4110,4.15,4.03,10.01
imdb,tmdb,D5,llama3.1-ft-p2 ∩ llama3.1-tf-p2,1098.71,10.85,85.76,19.26,1.00,vector_based_examples_dict_1,2664,0.00,4.38,10.01
imdb,tmdb,D5,llama3.1-ft-p2 U llama3.1-tf-p2,1082.28,8.48,96.44,15.59,1.00,vector_based_examples_dict_2,3832,3.98,4.38,10.01
imdb,tmdb,D5,llama3.1-ft-p2 ∩ llama3.1-tf-p2,1082.28,11.34,81.60,19.91,1.00,vector_based_examples_dict_2,2425,0.00,4.38,10.01
imdb,tmdb,D5,llama3.1-ft-p2 U llama3.1-tf-p2,1082.77,7.71,97.33,14.29,1.00,join_examples_dict_1,4254,4.04,4.38,10.01
imdb,tmdb,D5,llama3.1-ft-p2 ∩ llama3.1-tf-p2,1082.77,9.48,67.95,16.64,1.00,join_examples_dict_1,2415,0.00,4.39,10.01
imdb,tmdb,D5,llama3.1-ft-p2 U llama3.1-tf-p2,1080.99,9.20,98.22,16.82,1.00,join_examples_dict_2,3599,2.46,4.40,10.01
imdb,tmdb,D5,llama3.1-ft-p2 ∩ llama3.1-tf-p2,1080.99,11.93,89.91,21.06,1.00,join_examples_dict_2,2540,0.00,4.39,10.01
imdb,tmdb,D5,orca2-ft-p2 U orca2-tf-p2,790.43,12.27,73.59,21.03,1.00,vector_based_examples_dict_1,2021,3.20,4.41,5.78
imdb,tmdb,D5,orca2-ft-p2 ∩ orca2-tf-p2,790.43,12.57,45.99,19.75,1.00,vector_based_examples_dict_1,1233,0.00,4.20,5.78
imdb,tmdb,D5,orca2-ft-p2 U orca2-tf-p2,781.37,12.38,71.22,21.09,1.00,vector_based_examples_dict_2,1939,1.25,4.20,5.78
imdb,tmdb,D5,orca2-ft-p2 ∩ orca2-tf-p2,781.37,13.91,56.38,22.31,1.00,vector_based_examples_dict_2,1366,0.00,4.20,5.78
imdb,tmdb,D5,orca2-ft-p2 U orca2-tf-p2,780.59,12.03,67.95,20.44,1.00,join_examples_dict_1,1904,1.56,4.21,5.78
imdb,tmdb,D5,orca2-ft-p2 ∩ orca2-tf-p2,780.59,13.49,49.55,21.21,1.00,join_examples_dict_1,1238,0.00,4.19,5.78
imdb,tmdb,D5,orca2-ft-p2 U orca2-tf-p2,778.89,12.42,55.49,20.29,1.00,join_examples_dict_2,1506,2.91,4.20,5.78
imdb,tmdb,D5,orca2-ft-p2 ∩ orca2-tf-p2,778.89,11.50,24.33,15.62,1.00,join_examples_dict_2,713,0.00,4.20,5.78
imdb,tmdb,D5,openhermes-ft-p2 U openhermes-tf-p2,807.97,11.09,97.03,19.91,1.00,vector_based_examples_dict_1,2948,2.47,4.20,4.56
imdb,tmdb,D5,openhermes-ft-p2 ∩ openhermes-tf-p2,807.97,13.98,84.57,23.99,1.00,vector_based_examples_dict_1,2039,0.00,4.10,4.56
imdb,tmdb,D5,openhermes-ft-p2 U openhermes-tf-p2,798.07,13.21,90.50,23.05,1.00,vector_based_examples_dict_2,2309,1.63,4.11,4.56
imdb,tmdb,D5,openhermes-ft-p2 ∩ openhermes-tf-p2,798.07,14.64,73.59,24.42,1.00,vector_based_examples_dict_2,1694,0.00,4.11,4.56
imdb,tmdb,D5,openhermes-ft-p2 U openhermes-tf-p2,796.03,14.29,69.14,23.69,1.00,join_examples_dict_1,1630,1.48,4.11,4.56
imdb,tmdb,D5,openhermes-ft-p2 ∩ openhermes-tf-p2,796.03,14.88,49.85,22.92,1.00,join_examples_dict_1,1129,0.00,4.11,4.56
imdb,tmdb,D5,openhermes-ft-p2 U openhermes-tf-p2,796.82,14.33,82.49,24.42,1.00,join_examples_dict_2,1940,0.57,4.11,4.56
imdb,tmdb,D5,openhermes-ft-p2 ∩ openhermes-tf-p2,796.82,15.24,60.53,24.34,1.00,join_examples_dict_2,1339,0.00,4.12,4.56
imdb,tmdb,D5,zephyr-ft-p2 U zephyr-tf-p2,1484.83,14.02,64.39,23.02,0.65,vector_based_examples_dict_1,1548,1.48,4.12,9.10
imdb,tmdb,D5,zephyr-ft-p2 ∩ zephyr-tf-p2,1484.83,14.42,31.75,19.83,0.65,vector_based_examples_dict_1,742,0.00,4.40,9.10
imdb,tmdb,D5,zephyr-ft-p2 U zephyr-tf-p2,1299.34,14.37,75.37,24.14,0.80,vector_based_examples_dict_2,1767,0.27,4.39,9.10
imdb,tmdb,D5,zephyr-ft-p2 ∩ zephyr-tf-p2,1299.34,13.78,45.10,21.11,0.80,vector_based_examples_dict_2,1103,0.00,4.39,9.10
imdb,tmdb,D5,zephyr-ft-p2 U zephyr-tf-p2,1295.20,14.69,60.24,23.62,0.82,join_examples_dict_1,1382,0.68,4.41,9.10
imdb,tmdb,D5,zephyr-ft-p2 ∩ zephyr-tf-p2,1295.20,15.38,45.70,23.02,0.82,join_examples_dict_1,1001,0.00,4.41,9.10
imdb,tmdb,D5,zephyr-ft-p2 U zephyr-tf-p2,4114.83,14.48,62.91,23.54,0.75,join_examples_dict_2,1464,0.89,4.38,9.10
imdb,tmdb,D5,zephyr-ft-p2 ∩ zephyr-tf-p2,4114.83,14.81,52.82,23.13,0.75,join_examples_dict_2,1202,0.00,4.38,9.10
