dataset_1,dataset_2,dataset,model,time (sec),precision,recall,f1,good_behavior_response_rate,examples,total_matches,conflicts
walmart,amazon,D8,llama3.1-ft-p2 U llama3.1-tf-p2,1396.71,4.55,91.27,8.67,1.00,vector_based_examples_dict_1,4594,20.26
walmart,amazon,D8,llama3.1-ft-p2 ∩ llama3.1-tf-p2,1396.71,6.71,65.07,12.17,1.00,vector_based_examples_dict_1,2220,0.00
walmart,amazon,D8,llama3.1-ft-p2 U llama3.1-tf-p2,1392.92,3.97,98.69,7.64,1.00,vector_based_examples_dict_2,5691,17.09
walmart,amazon,D8,llama3.1-ft-p2 ∩ llama3.1-tf-p2,1392.92,5.50,87.34,10.35,1.00,vector_based_examples_dict_2,3635,0.00
walmart,amazon,D8,llama3.1-ft-p2 U llama3.1-tf-p2,1390.95,4.02,94.32,7.71,1.00,join_examples_dict_1,5372,19.53
walmart,amazon,D8,llama3.1-ft-p2 ∩ llama3.1-tf-p2,1390.95,5.90,81.22,11.01,1.00,join_examples_dict_1,3151,0.00
walmart,amazon,D8,llama3.1-ft-p2 U llama3.1-tf-p2,1395.60,4.52,94.76,8.63,1.00,join_examples_dict_2,4798,15.23
walmart,amazon,D8,llama3.1-ft-p2 ∩ llama3.1-tf-p2,1395.60,6.46,75.98,11.91,1.00,join_examples_dict_2,2693,0.00
walmart,amazon,D8,orca2-ft-p2 U orca2-tf-p2,1021.80,5.61,55.46,10.19,1.00,vector_based_examples_dict_1,2264,10.08
walmart,amazon,D8,orca2-ft-p2 ∩ orca2-tf-p2,1021.80,8.46,32.75,13.44,1.00,vector_based_examples_dict_1,887,0.00
walmart,amazon,D8,orca2-ft-p2 U orca2-tf-p2,1022.95,4.39,46.72,8.02,1.00,vector_based_examples_dict_2,2440,12.31
walmart,amazon,D8,orca2-ft-p2 ∩ orca2-tf-p2,1022.95,6.94,21.83,10.54,1.00,vector_based_examples_dict_2,720,0.00
walmart,amazon,D8,orca2-ft-p2 U orca2-tf-p2,1010.00,6.50,40.17,11.19,1.00,join_examples_dict_1,1416,7.50
walmart,amazon,D8,orca2-ft-p2 ∩ orca2-tf-p2,1010.00,8.12,20.96,11.71,1.00,join_examples_dict_1,591,0.00
walmart,amazon,D8,orca2-ft-p2 U orca2-tf-p2,1017.11,5.78,51.53,10.39,1.00,join_examples_dict_2,2042,11.45
walmart,amazon,D8,orca2-ft-p2 ∩ orca2-tf-p2,1017.11,7.61,27.95,11.96,1.00,join_examples_dict_2,841,0.00
walmart,amazon,D8,openhermes-ft-p2 U openhermes-tf-p2,1035.29,6.95,74.67,12.71,1.00,vector_based_examples_dict_1,2462,15.47
walmart,amazon,D8,openhermes-ft-p2 ∩ openhermes-tf-p2,1035.29,9.69,51.09,16.30,1.00,vector_based_examples_dict_1,1207,0.00
walmart,amazon,D8,openhermes-ft-p2 U openhermes-tf-p2,1034.11,6.01,89.96,11.26,1.00,vector_based_examples_dict_2,3430,14.63
walmart,amazon,D8,openhermes-ft-p2 ∩ openhermes-tf-p2,1034.11,8.60,76.42,15.45,1.00,vector_based_examples_dict_2,2036,0.00
walmart,amazon,D8,openhermes-ft-p2 U openhermes-tf-p2,1036.90,7.93,75.98,14.36,1.00,join_examples_dict_1,2195,13.96
walmart,amazon,D8,openhermes-ft-p2 ∩ openhermes-tf-p2,1036.90,11.71,58.52,19.52,1.00,join_examples_dict_1,1144,0.00
walmart,amazon,D8,openhermes-ft-p2 U openhermes-tf-p2,1035.73,6.60,80.35,12.19,1.00,join_examples_dict_2,2789,12.08
walmart,amazon,D8,openhermes-ft-p2 ∩ openhermes-tf-p2,1035.73,9.51,66.38,16.63,1.00,join_examples_dict_2,1599,0.00
walmart,amazon,D8,zephyr-ft-p2 U zephyr-tf-p2,1355.95,10.88,43.67,17.42,0.78,vector_based_examples_dict_1,919,8.70
walmart,amazon,D8,zephyr-ft-p2 ∩ zephyr-tf-p2,1355.95,11.13,24.89,15.38,0.78,vector_based_examples_dict_1,512,0.00
walmart,amazon,D8,zephyr-ft-p2 U zephyr-tf-p2,3022.93,8.36,70.74,14.96,0.37,vector_based_examples_dict_2,1937,6.86
walmart,amazon,D8,zephyr-ft-p2 ∩ zephyr-tf-p2,3022.93,10.99,58.52,18.51,0.37,vector_based_examples_dict_2,1219,0.00
walmart,amazon,D8,zephyr-ft-p2 U zephyr-tf-p2,2727.80,11.19,54.15,18.55,0.70,join_examples_dict_1,1108,5.93
walmart,amazon,D8,zephyr-ft-p2 ∩ zephyr-tf-p2,2727.80,13.31,35.81,19.41,0.70,join_examples_dict_1,616,0.00
walmart,amazon,D8,zephyr-ft-p2 U zephyr-tf-p2,2854.60,7.46,73.80,13.56,0.47,join_examples_dict_2,2264,6.86
walmart,amazon,D8,zephyr-ft-p2 ∩ zephyr-tf-p2,2854.60,10.65,53.28,17.75,0.47,join_examples_dict_2,1146,0.00
